,nombre_candidato,partido_coalicion,propuestas_general
50,FERNANDO ESPINO GONZALEZ,FUERZA POR MÉXICO,"a. Promover e incentivar entre particulares el uso de vehículos que utilicen energías  renovables. b. Renovar el parque vehicular del transporte público concesionado (taxis y  microbuses) por unidades eléctricas.c. Vigilar que el gobierno de la CDMX adquiera los medicamentos e insumos necesarios, de patente y con la calidad requerida para la atención de la salud. d. Incrementar el número de policías preventivos y su equipamiento.En coordinación con los tres Órganos de Gobierno impulsar la creación de corredores artesanales donde se promuevan también el aspecto cultural de cada Municipio e Impulso a la capacitación, modernización y comercialización de los Centros Ganaderos de la Región."
51,FERNANDO MARTINEZ OROZCO,MOVIMIENTO CIUDADANO,"Bienestar Social  El Bienestar social y la participación ciudadana son aquellas cosas que inciden de manera positiva en la calidad de vida: un empleo digno, recursos económicos para satisfacer las necesidades, vivienda, acceso a la educación y a la salud, tiempo para el ocio etc.Vivienda  La Participación Ciudadana constituye la base para la gestión en la vivienda y la democracia de las ciudades, en donde permite establecer una relación clara entre demandas, necesidades y aspiraciones ciudadanas, con políticas, planes y proyectos, así como desarrollar políticas eficaces, sostenibles e incluyentes, para practicar la cooperación de las entidades y los ciudadanos, y democratizar la gestión pública local.Que apliquen en todo el país las iniciativas ya creadas en materia de género."
52,FLOR IVONE MORALES MIRANDA,MORENA,"1.- El combate a la corrupción2.- La defensa de los derechos humanos, principalmente el de las mujeresImpulsar la economía. Regresar los presupuestos para impulsar el emprendimiento de mujeres y jóvenes, así como recuperar las estancias infantiles."
53,GABRIEL RICARDO QUADRI DE LA TORRE,VA POR MEXICO,"Restablecer los fideicomisos públicos y transparentarlos, a efecto de garantizar recursos para actividades prioritarias y transexenales, como la prevención de desastres, la salud y el apoyo a la ciencia, la tecnología, la cultura y el deporte.-Crear apoyos o subsidios para que las mujeres con hijos puedan continuar laborando o estudiando sin descuidar a sus hijos"
54,GABRIELA GEORGINA JIMENEZ GODOY,JUNTOS HACEMOS HISTORIA,"Combate a la pobreza y a las desigualdades.  A través de programas sociales eficaces, propongo combatir a la pobreza que afecta a las familias vulnerables, sobre todo, aquellas en donde las jefas de familia son madres solteras y enfrentan mayores dificultades. Las desigualdades se agravan cuando no dotamos de oportunidades a la población. Trabajaré por crear mayores espacios de empleos, fomentando el comercio local y la seguridad social.Seguridad y no violencia. Un problema generalizado en el país es la inseguridad. A través de iniciativas en materia de seguridad, propondré la capacitación universal de los cuerpos policiales para atender las llamadas de emergencia de forma pronta y eficaz. Asimismo, impulsaré la certificación obligatoria de la Policía de Género en Atención de Mujeres Víctimas de Violencia, a fin de reducir las altas cifras de feminicidios y agresiones físicas, sexuales y psicológicas."
55,GEORGINA MEDINA PEREZ,FUERZA POR MÉXICO,"Terminar con la Violencia Política en las Mujeres.Impulso a los Jóvenes en todos los ámbitos Sociales.Promover reformas constitucionales y a leyes secundarias para fortalecer el papel y representación de la mujer, de los jóvenes, adultos mayores y personas con capacidades diferentes, en condiciones de igualdad, así como para mejorar la economía, la salud, el empleo, el medio ambiente y el desarrollo regional con perspectiva de género, garantizando igualdad de oportunidades para mujeres y hombres en todos los ámbitos."
56,GERARDO DAVID RODRIGUEZ LOPEZ,PARTIDO DEL TRABAJO,"1.    Cendi para todos: educación de calidad desde la preconcepción, y garantizando la seguridad laboral de los trabajadores y docentes.   2.    Ciencia y Cultura: desde el kínder y hasta la universidad. Un país sin ciencia y cultura está destinado al fracaso     3.    Deporte y nutrición: incentivando la agroindustria nacional                                         4.    Energías Renovables para todos: promover el uso de las energías para el consumo industrial, para el beneficio local.  6.     Sostenibilidad: promover la ciudad como una ciudad sostenible en el contexto internacional, nacional, estatal y municipal.7.    Calidad de vida:  Transporte: dignificación de los trabajadores del transporte colectivo, para la dignificación de los usuarios.   Recreación y esparcimiento: un distrito sin cines, teatros, parques, pistas, sin vida pública, es una cárcel sin rejas.  8.    Salud y empleo; sin empleo no hay salud, sin salud no hay vida: (Polo de desarrollo económico) Proteger a la microempresa, el autoempleo y ayudar a las actividades económicas mal llamadas informales, al ingreso de la cadena de producción y consumo para la generación del polo de desarrollo.   10. Agua: promover una nueva cultura cívica para la Ciudad de México en materia de recuperación de agua pluvial, aprovechamiento del uso de agua potable y tratamiento de aguas negrasEscudriñar las leyes para que estas sean en favor de las víctimas y no de los victimarios, que la justicia y la transparencia gobiernen el resultado de cada juicio, así como también brindar el apoyo y la seguridad a todas las víctimas, durante y después del proceso."
57,GISELLE HERNANDEZ GARCIA,PARTIDO ENCUENTRO SOLIDARIO,Disminución del IVA del 16 al 10.Transporte gratuito a estudiantes a nivel nacional.Promover reforma a los lineamientos que orientan la participación política de mujeres en materia de violencia de género que garanticen las sanciones a quienes las incumplan.
58,GRECIA SAMANTHA HERNANDEZ MARTINEZ,VA POR MEXICO,"Mayor inversión en movilidad y  modernismo en el transporte local, para que existan más rutas de acceso a las alcaldías y el gobierno apoye a quienes generan el dinamismo en las calles.Apoyo al sector salud para garantizar la atención digna de los ciudadanos, y poder enfrentar tiempos de pandemia."
59,GUADALUPE GABRIELA PALOMINO BECERRIL,FUERZA POR MÉXICO,"Crear iniciativas para mejorar la seguridad pública.Promover la equidad de género.EN ESTE ÁMBITO ES PRIMORDIAL LA MAYOR PARTICIPACIÓN Y APOYO ASÍ LA MUJER A LOS DIVERSOS SECTORES COMO ES, POLÍTICO, SOCIAL, ECONÓMICO Y FAMILIAR PARA IMPULSAR A LA MUJER.
Y LA AYUDA Y ERRADICACIÓN DE LA VIOLENCIA QUE EN ESTE PAÍS CADA VEZ MÁS NOS AMENAZA COMO MUJERES Y EL HECHO DE PODER COMBATIR JUNTAS PARA LOGRAR MEJORAS ESTRUCTURALES Y UNA SOCIEDAD MÁS TRANSPARENTE."
60,GUADALUPE MARCELA TORRES ESCUTIA,MOVIMIENTO CIUDADANO,"Materia de Seguridad Pública.  Una Fiscalía Especial de detección e inhabilitación de criminales y agresores sexuales,Económica. Fomento de la economía Social y Solidaria.Continuar apoyando que las mujeres ocupen cada días más espacios públicos."
61,GUADALUPE MONCERRAT HERNANDEZ SOTELO,FUERZA POR MÉXICO,"Empoderamiento y desarrollo de las mujeres.Cuidado del medio Ambiente.Promover leyes más severas para erradicar el FEMINICIDIO, castigando a  los responsables de agresiones, físicas o psicológicas, así mismo promover recursos para el tratamiento dándole un acompañamiento a las víctimas con esto ellas se recuperen del posible daño causado."
62,GUADALUPE RAMOS SOTELO,MORENA,Legislar para así contribuir a la consolidación de la 4ta transformaciónSeguiremos trabajando en leyes que garanticen la seguridad y pacificación del paísPruebas de tamizaje del neurodesarrollo a todos los recién nacidos del país.
63,GUADALUPE TORRES QUEVEDO,MOVIMIENTO CIUDADANO,"Qué los comerciantes informales tengan derecho a la Salud, pero al igual obligaciones, y aportar la base fiscal.Qué las madres estudiantes tengan un acceso a una guardería para tener un lugar seguro en donde dejar a sus hijos.Defender la igualdad entre hombre y mujeres."
64,GUSTAVO ADOLFO JUI BRAVO,PARTIDO ENCUENTRO SOLIDARIO,"Cosecha de agua pluvial en edificios públicos, escuelas, centros comerciales, unidades habitacionales.Asentamientos humanos irregulares.La inclusión de la comunidad LBTTIQ en espacios públicos y en materia de servicios primarios son fundamentales por ello legislar y opinar en este sector de la población es de suma importancia."
65,GUSTAVO ESTRADA HERNANDEZ,PARTIDO ENCUENTRO SOLIDARIO,"EmpleoSeguridadCrear y establecer programas de guarderías para niños, jóvenes y adultos con necesidades y capacidades diferentes Especializados (CASE) ¡Nadie puede ser excluido, todos merecen respeto!"
66,HECTOR MALDONADO SAN GERMAN,JUNTOS HACEMOS HISTORIA,Gestionar recursos para pago de expropiaciones por causa de utilidad pública para generar espacios de convivencia y de salud en las alcaldías Álvaro Obregón y Cuajimalpa. Mantener usos y costumbres de los pueblos de ambas Alcaldías.Gestionar la creación del cable bus en las zonas altas de San Lorenzo Acopilco y San Mateo Tlaltenango. Este llegaría a Santa Fe. Con esto se lograría un trasporte limpio de calidad y que no cambiará el entorno de los pueblos originarios de nuestra comunidad.Ayudar al movimiento LGBT. Apoyar a que nuestros dialectos no desaparezcan. Apoyar a mujeres y hombres maltratados. Apoyar a erradicar la violencia familiar. Apoyar a madres y padres solteros.
67,HECTOR SAUL TELLEZ HERNANDEZ,VA POR MEXICO,"Legislar en materia de incentivos a las actividades productivas en el campo, bien agrícolas o pecuarias, que les permitan a quienes ejercen actividades productivas en el campo, desarrollar sus habilidades y aplicar sus conocimientos por ciencia o por experiencia- en su propia región; respetando la vocación productiva de la tierra en que se despierte su propia iniciativa.Mejorar oportunidades laborales de mujeres y coadyuvar a establecer la igualdad sustantiva y social a través de los actores competentes dentro de los grupos en situación de vulnerabilidad."
68,HELEN CAROL CEDILLO GARCIA,FUERZA POR MÉXICO,Casa para mujeres violentadas y maltratadas con clases talleres y bolsa de trabajo para que puedan mantener a sus familias.Rescatar a Cuautepec de la mancha urbana.IGUALDAD ANTE LA SOCIEDAD DE LOS GRUPOS MINORITARIOS E VULNERABLES.
69,HILDA LAURA VAZQUEZ VILLANUEVA,MOVIMIENTO CIUDADANO,Reconocer la importancia e incrementar la participación de las mujeres en espacios y puestos de toma de decisiones en el sector es una medida fundamental  para los derechos de las mujeres.
70,HUMBERTO LOZANO AVILES,VA POR MEXICO,"Mediante la participación de los sectores de trabajadores, empleadores y gobierno trabajar en una Ley para la reactivación económica que entrelace esfuerzos y trabajos en materia fiscal, hacendaria, laboral, de turismo, comercio, servicios e industria para de manera coordinada y responsable dar estímulos a trabajadores y empleadores que junto con un esfuerzo sin precedentes del gobierno federal nos lleven a salir fortalecidos. Establecer parámetros y definiciones claras de situaciones de gravedad económica para que con índices y métricas claras todos los sectores puedan trabajar armónicamente en beneficio de la económica familiar en el corto plazo y de México en el mediano y largo plazo.La revitalización de todas las instituciones que nos brindan seguridad, certeza y bienestar a los mexicanos. El trabajo digno, la salud integral, seguridad, cuidados infantiles y a la tercera edad; cuidado al medio ambiente con énfasis al agua, bosques y reservas naturales brindando a las personas, sin discriminación alguna, un espacio digno donde habitar y desarrollarse integralmente con acercamiento al arte, la cultura y el deporte desarrollando, además, actividades cívicas que nos hagan crecer como comunidad y nación. Un México justo."
71,IGNACIO PEREGRIN SCHULL,JUNTOS HACEMOS HISTORIA,"Acabar con la inseguridad como absoluta prioridad en la agenda política de los tres próximos años.Creación de un a verdadera sanidad universal e incremento en los niveles de inversión en salud.Instituir grupos, asociaciones y entidades que ayuden a promover el respeto por la diversidad de discriminación en la escuelas, trabajos y vida cotidiano; al grado de crear aliados, con un papel crítico para detener y prevenir el hostigamiento y el discrimen. Situando alarmas en vías públicas, tener personal policial que opere en apoyo a la alarma, enfocándose únicamente en la discriminación."
72,ILEANA ISLA MOYA,PARTIDO ENCUENTRO SOLIDARIO,"Reformas legales para mejorar la Educación PúblicaReforma legal que permita que las mujeres no sean discriminadas por circunstancias económicasEscudriñar las leyes para que estas sean en favor de las víctimas y no de los victimarios, que la justicia y la transparencia gobiernen el resultado de cada juicio, así como también brindar el apoyo y la seguridad a todas las víctimas, durante y después del proceso"
73,IRLANDA GABRIELA PACHECO TORRES,FUERZA POR MÉXICO,"Falta de Agua. Destinar mayores recursos a las instituciones gubernamentales encargadas de la captación y distribución del líquido vital, a fin de fomentar la inversión en mejoras técnicas para optimizar estas actividades. Fortalecer a la Comisión de Recursos Hidráulicos, Agua Potable y Saneamiento de la Cámara de Diputados para obtener mejores resultados en la creación y modificación de mecanismos jurídicos que aseguren el abastecimiento de agua en la Zona Metropolitana de Valle de México. Exhortar a la Comisión Nacional del Agua con relación a la correcta aplicación de recursos públicos para la progresiva reparación y sustitución de infraestructura del Sistema Cutzamala.Seguridad Pública y Protección Ciudadana. Legislar en favor del fortalecimiento de los cuerpos policiacos a partir de la revisión de Leyes y Reglamentos en esta materia. 	Impulsar una reforma constitucional que transforme de fondo el Sistema Penitenciario Federal a partir de la sustitución del concepto de readaptación por el de reinserción social. Exhorto a las diferentes instituciones de seguridad pública y protección ciudadana para cumplir con la actuación de protocolos de actuación en casos relacionados con la integridad física y moral de las mujeres, niñas, niños y adolescentes. De igual forma, exhortar a las instituciones encargadas en esta materia, a crear mayores cuerpos policiacos con integrantes femeninas a fin de generar mayor confianza con la ciudadanía y en especial, con este sector de la población.QUE EXISTAN LEYES DE NO DISCRIMINACIÓN."
74,ISAAC ALBERTO SANCHEZ BADILLO,PARTIDO ENCUENTRO SOLIDARIO,"Desarrollar una verdadera transformación al mecanismo de operación del SNDIF para que la institución verdaderamente cambie la realidad de las familias disfuncionales.La actualidad de las instituciones educativas públicas como privadas, es grave,  no tiene desarrollo y no existe una preocupación por impulsar la capacidad de los estudiantes desde el nivel básico a nivel medio superior. Debe de planearse la modificación al reglamento interino de la SEP y además construir el procedimiento académico para impulsar en todos los ámbitos de nuestros hijos."
75,JAVIER ARIEL HIDALGO PONCE,JUNTOS HACEMOS HISTORIA,"Legislar para así contribuir a la consolidación de la 4ta transformación.Trabajar en leyes que garanticen la seguridad y pacificación del país.RECUPERAR LAS ESTANCIAS INFANTILES, LOS REFUGIOS PARA MUJERES Y REDUCIR LA BRECHA SALARIAL, ENTRE HOMBRES Y MUJERES,  EN TODO EL PAÍS."
76,JAZMIN ANGELICA PILLE GUZMAN,VA POR MEXICO,"Bajar el IVA del 16 a 10, así los productos que necesites costarán menos.  Garantizar Abasto de medicamentos para toda la Población con Cáncer y Enfermedades Degenerativas.  Restablecer los Programas de Estancia Infantiles.  Apoyo de 3 mil 200 pesos mensuales a las familias mexicanas que más lo necesiten.Incluir la Entrega de libros de forma digital, en una Tablet con acceso a internet gratuito para Educación básica. Crear un Nuevo Sistema de Seguridad Nacional, apegado a las mejores prácticas de capacitación y profesionalización con mejores ingresos a los policías."
77,JENNY TAMARA IBARRA RUIZ,MOVIMIENTO CIUDADANO,"Derechos laborales para los Trabajadores Independientes. Reconocimiento a su figura como trabajador, regularización, y búsqueda de Derechos Laborales y prestaciones para los trabajadores eventuales, autoempleados y freelances.   Trabajadores Independientes (T.I.) de Cultura. No hay figura legal que los reconozca como trabajadores en la Constitución, son prestadores de servicios y han sido precarizados y abusados legalmente incluso en los contratos de trabajo con el gobierno como el Capítulo 3000. Urge contratos, derechos laborales, prestaciones y trato digno a los trabajadores de la cultura. Como parte del ejercicio de justicia laboral se buscará que paguen un porcentaje menor de IVA que los trabajadores bajo contrato y sindicalizados.  Trabajadores Independientes no remunerados del cuidado a la salud, en específico a las CUIDADORAS. Son principalmente mujeres las que se dedican de tiempo completo al cuidado de los discapacitados, enfermos, abuelos, etc. en el núcleo familiar. Es necesario su reconocimiento, capacitación, apoyos económicos y adquisición de prestaciones como trabajador.  Trabajadores con enfermedades crónicas. Tienen gasto económico constante (propio y familiar) para el mantenimiento de su salud, es una precarización que ahonda en núcleos familiares. Es importante la creación de leyes que los protejan en los momentos de crisis de salud, frente a los empleadores y/o facilitándoles apoyos o accesos a medicina de 3er nivel. Este grupo será muy común tras las secuelas por COVID-19.Reactivación económica a través de la inversión a espacios culturales. Alrededor de los espacios culturales se crea un turismo local y/o internacional que consume dejando una derrama económica no solo en el principal objeto de consumo sino en los establecimientos alrededor de ellos: restaurantes, cafés, negocios culturales, etc.   Impulsar legislativamente el rescate del Centro SCOP, patrimonio arquitectónico y artístico ubicado en la delegación Benito Juárez, que incluya la protección de la obra artística y del espacio como zona cultural, restauración, reconstrucción, activación y promoción del lugar. Este espacio no ha sido valorado como una joya cultural de la CDMX, pero su adecuada pondría finalmente a la Benito Juárez como una delegación cultural. 2.2 Incentivación hacendaria a medianos y pequeños comerciantes, para que paguen impuestos a través de donaciones o fideicomisos a espacios culturales independientes, privados y gubernamentales.Defender los derechos y participación de las mujeres indígenas en la politica, sin ser descriminadas."
78,JESUS ADRIAN LOPEZ ZAMORA,REDES SOCIALES PROGRESISTAS,"Legislar en materia de seguridad social, en favor de todos los ciudadanos, contemplando dentro de estos a servidores públicos como enfermeras, bomberos, docentes, paramédicos, personal de las fuerzas armadas de México y policías.Legislar para crear un México donde las opiniones de todos, sin importar si son instituciones, empresas o ciudadanos sean escuchadas, tomadas en cuenta y tengan una voz en el congreso para generar un cambio real donde México sea gobernado por los y las mexicanas y no solo por el interés y beneficio de un sector privilegiado.FORTALECER EL MARCO JURÍDICO EN MATERIA DE VIOLENCIA DE GÉNERO."
79,JESUS RICARDO CRUZ COTERO,PARTIDO ENCUENTRO SOLIDARIO,"Mejorar la ley general de salud, favorecer a un mejor sistema de atención primaria a la salud, considerando que tenemos que incursionar en la medicina preventiva y en un nuevo sistema.Complementar y mejorar la ley de protección animal y la ley de trata de animales.Que haya el mismo trato para todos sin distinción, que quienes optan por otra sexualidad sean respetados sin que ello obligue a que las otras personas se sientan obligados a cambiar su propia decisión.   En el respeto está la inclusión y tolerancia."
80,JORGE SALVADOR ARRIOLA SANCHEZ,REDES SOCIALES PROGRESISTAS,"Hacer una ley que obligue a todos los alumnos desde primaria hasta el nivel superior el tomar  una asignatura en nutrición.Elaborar una ley en donde sea obligatorio un cambio en la actividad física  en las primarias y secundarias y realizar tipos de ejercicio efectivos para mejorar la salud de forma preventiva.Promover reformas constitucionales y a leyes secundarias para fortalecer el papel y representación de la mujer, de los jóvenes, adultos mayores y personas con capacidades diferentes, en condiciones de igualdad, así como para mejorar la economía, la salud, el empleo, el medio ambiente y el desarrollo regional con perspectiva de género, garantizando igualdad de oportunidades para mujeres y hombres en todos los ámbitos."
81,JORGE TRIANA TENA,VA POR MEXICO,"Proponer reformas legales y políticas institucionales para dar plena garantía a la conciliación trabajo-familia, que contemplen la implementación de mecanismos diversos como la flexibilidad de horarios, permisos por emergencias y economía del cuidado, trabajo en casa, derechos de paternidad y responsabilidades familiares, entre otros.Tratar de abatir la discriminación de la que grupos en particular han sido objeto. Para lograr la equidad de género. Y tengamos una vida igualitaria."
82,JOSE GERARDO RODOLFO FERNANDEZ NOROÑA,JUNTOS HACEMOS HISTORIA,"1. Legislar en favor del pueblo. 2.  Recuperar el patrimonio nacional  privatizado.3. Apoyar el gobierno popular del  Presidente AMLO.  4. Combatir a los farsantes incrustados en instituciones como  el INE.Promover reformas legislativas para el reconocimiento y desarrollo de todas las comunidades indígenas del país, con perspectiva de género, destacando la exigibilidad de los Derechos Humanos al Estado Mexicano, promoviendo el respeto a la libre determinación, donde se asegure por los tres Poderes de la Unión, y por los tres órdenes de gobierno, el respeto y uso del Convenio 169 de la OIT, y de los Acuerdos de San Andrés Larrainzar."
83,JOSE LUIS BARAJAS MEDINA,VA POR MEXICO,"Construcción de un Hospital Regional de Alta Especialidad. Atención y tratamientos permanentes para personas afectadas por el COVID-19 y enfermedades crónico degenerativas. Indemnizaciones justas. Empoderamiento Integral de la Mujer  y Artesanos. Creación de una reserva estratégica de combustible ante el desbastó. Cancelación de Comisiones Bancarias a la clase trabajadora. Fondo de emergencia para zonas sísmicas del país.Construcción de un Hospital Regional de Alta Especialidad.CREACIÓN DE ESPACIOS IMPARCIALES, TOLERANTES DE DISCUSIÓN EN TEMAS DE GÉNERO"
84,JOSE LUIS BLANDO CAMPOS,MOVIMIENTO CIUDADANO,"Llevar a cabo una mayor protección y agilidad a los trámites y demandas en cuanto exista una violencia hacia la mujer.  Promover reformas constitucionales y a leyes secundarias para fortalecer el papel y representación de la mujer, de los jóvenes, adultos mayores y personas con capacidades diferentes, en condiciones de igualdad, así como para mejorar la economía, la salud, el empleo, el medio ambiente y el desarrollo regional con perspectiva de género, garantizando igualdad de oportunidades para mujeres y hombres en todos los ámbitos."
85,JOSE MANUEL SOTOMAYOR LANDECHO,PARTIDO ENCUENTRO SOLIDARIO,"Hacer del deporte una prioridad social.Capacitación gratuita, constante y obligatoria para futuros o actuales padres de familia.Generar empleos mediante la apertura de fábricas textileras o de manufactura para madres solteras las cuales tengan guarderías que cuiden de los hijos de trabajadoras."
86,JUAN CARLOS ROBLES SIGALES,PARTIDO VERDE ECOLOGISTA DE MÉXICO,LEGISLAR PARA QUE LOS NÚCLEOS AGRARIOS DE LA CIUDAD DE MÉXICO PUEDAN TENER UN EQUILIBRIO EN LOS SISTEMAS DE PRODUCCIÓN Y EL CUIDADO DEL MEDIO AMBIENTE.LEGISLAR A FAVOR DE LOS PUEBLOS ORIGINARIOS DE LA CIUDAD DE MÉXICO PARA QUE PRESERVEN SUS USOS Y COSTUMBRES Y ASÍ PUEDA MANTENER SU IDENTIDAD..
87,JUAN CERVANTES CHAVEZ,PARTIDO VERDE ECOLOGISTA DE MÉXICO,Proponer e impulsar todas las iniciativas de reformas constitucionales que garanticen la libre  determinación y Autonomía de los Pueblos y Barrios Originarios del país.Armonización legislativa e instalación de un observatorio parlamentario para el desarrollo pleno de la  niñez.Promover la defensa de los Derechos de las Mujeres.
88,JUAN MANUEL MARQUEZ MENDEZ,JUNTOS HACEMOS HISTORIA,"Promover la participación de las mujeres en comunidades indígenas, en cuanto al desarrollo socioeconómico y político de sus comunidades."
89,JUANA JIMENEZ SANCHEZ,MOVIMIENTO CIUDADANO,Generar iniciativas de adiciones a leyes generales o formulación de nuevas leyes que permitan regular las condiciones en las que se ofertan los servicios de salud.Generar iniciativas de adiciones a leyes generales o formulación de nuevas leyes que permitan contar con el capital humano en cantidad y con las competencias necesarias para afrontar los retos presentes y futuros de la humanidad.Políticas Públicas para la salud mental después de la pandemia COVID-19 en los adolescentes es primordial.
90,JUSTO MONTESINOS LOPEZ,MOVIMIENTO CIUDADANO,"Proponer iniciativas de Ley que apoyen a la Economía Social y Solidaria, impulsar la industrialización en nuestro país de manera nacional; promover mejores mecanismos para la salud y la educación sin perder nuestras tradiciones culturales, promover con apoyo de recursos al turismo alternativo; la distribución de la energía eléctrica con prioridad en la participación de cooperativas.Extender la base de impuestos, para la protección a la inversión de PYMES, durante el periodo de crisis.Fortalecer el marco jurídico en materia de violencia de género."
91,KARLA AVILA ANAYA,FUERZA POR MÉXICO,Terminar con la Violencia Política en las Mujeres.Impulso a los Jóvenes en todos los ámbitos Sociales.Fortalecer el marco jurídico en materia de violencia de género.
92,KARLA AYALA VILLALOBOS,VA POR MEXICO,"RECUPERAR NUESTRA SEGURIDAD Implementar una estrategia eficaz contra el crimen organizado en todas sus manifestaciones.  ECONOMÍA INCLUSIVA CON OPORTUNIDAD PARA TODOS Legislare la creación de un Programa Nacional de Emergencia para el empleo, para proteger las fuentes de trabajo. RESCATAR DEL OLVIDO A LOS TRABAJADORES DEL CAMPO Invertir en la productividad de las actividades del campo, promoviendo un enfoque de igualdad de oportunidades productivas para la población de menores recursos.JUSTICIA SOCIAL APOYANDO A LA POBLACIÓN POBRE Y VULNERABLE Garantizar la propiedad privada y el libre emprendimiento. Legislar para la regularización de la tenencia de la tierra.  SALUD CON DIGNIDAD PARA TODAS Y TODOS Asegurar recursos suficientes para contar con personal médico bien capacitado y remunerado, así como con la provisión de medicinas, materiales e instalaciones.  EDUCACIÓN DE CALIDAD PARA LA NIÑEZ Y JUVENTUD Impulsar y hacer accesible a muchos más la educación superior y asegurar el acceso a la tecnología en todas las escuelas.  IGUALDAD SUSTANTIVA DE GÉNERO Y PREVENCIÓN DE DISCRIMINACIÓN Poner especial énfasis en la prevención y en la no impunidad para los delincuentes que atenten en contra de las mujeres.PROMOCIÓN DE LA EDUCACIÓN DE GÉNERO, PROPONER METODOLOGÍAS Y MECANISMOS QUE PERMITAN CONOCER LA EQUIDAD, PARA CONSTRUIR UNA SOCIEDAD DONDE TANTO LAS MUJERES, NIÑOS, NIÑAS Y HOMBRES TENGAN EL MISMO VALOR, LA IGUALDAD DE DERECHOS, Y OPORTUNIDADES."
93,LAURA DIRIDIA DOMINGUEZ SANTILLAN,FUERZA POR MÉXICO,"Bandera rosa (puntos de primer auxilio, para desastres naturalesCreación de puntos de encuentros sociales para la recreación, orientación psicológica y legal para la comunidadFORTALECER EL MARCO JURÍDICO EN MATERIA DE VIOLENCIA DE GÉNERO."
94,LAURA SUSANA ORDOÑEZ CONTRERAS,PARTIDO DEL TRABAJO,"LA TRANSPARENCIA, LA RENDICIÓN DE CUENTAS, LA MODERNIZACIÓN ADMINISTRATIVA Y LA TECNOLÓGICA.ESTABLECER LAS REFORMAS DE LEY EN MATERIA DE DESARROLLO SOCIAL PARA LA PROTECCION DE LAS FAMILIAS MEXICANAS."
95,LIDIA PEREZ BARCENAS,MORENA,"Un parlamento abierto, participativo y transparente. Promoveré un parlamento abierto en donde la participación de la ciudadanía sea considerada en la confección de las políticas públicas, su puesta en marcha, su vigilancia y evaluación. Impulsaré todas las formas de democracia participativa y de gobierno incluyente. El ejercicio del servicio público debe ser transparente.Impulsaré los derechos sociales de toda la ciudadanía a través del mejoramiento del marco jurídico, a la salud, como derecho prioritario. A la educación como derecho fundamental y base para el acceso a mejores niveles de bienestar. Al trabajo, como fuente principal de ingresos y condición para la realización humana. A una vivienda digna, particularmente para la población más necesitada de mi distrito. A un medio ambiente sano. Que haga de nuestro país un lugar sustentable para vivir.LA IGUALDAD DE DERECHOS PARA HOMBRES Y MUJERES."
96,LIED CASTELIA MIGUEL JAIMES,MOVIMIENTO CIUDADANO,"1 Eliminación de la violencia contra la mujer. Desde mi trayectoria de más de 25 años como activista y feminista comunitaria, 1 de mis compromisos clave es siempre será la defensa y promoción de los derechos de las mujeres. La violencia hacia las mujeres y niñas vive un momento álgido en nuestro país y en la Ciudad de México, también particularmente en la alcaldía Tlalpan. En Tlalpan, desde hace dos años somos. Punteros en cuanto al número de feminicidios en la CDMX, de acuerdo a las cifras del Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública, durante el 2020 plantón fue la alcaldía número 1 en feminicidios de la ciudad. Adicionalmente, Tlalpan también figura como la quinta alcaldía en carpetas de investigación abiertas por violencia familiar y en cuanto a violaciones. 2 Acceso al agua potable. Como habitantes de Tlalpan estoy convencida que 1 de los principales problemas históricos de la demarcación es el abasto de agua potable. Particularmente en el Distrito Federal V de Tlalpan, varias colonias, barrios y pueblos originarios padecen de un desabasto y suministro regular de agua potable. Este es un tema que urge resolver para mejorar la calidad de vida de las y dos despensas máximo de cara a la pandemia de Covid que impone como una de las medidas clave es la prevención y  el lavado frecuente de manos.3 Atención ciudadana en materia de servicios urbanos. La alcaldía Tlalpan es una de las demarcaciones con mayor retraso en la atención a peticiones de atención ciudadana a través del CESAC. La mayoría de estas solicitudes son en materia de servicios urbanos, tales como bacheo, reparación de luminarias, poda y clareo y recolección de basura.  4 Seguridad. La seguridad es una de las necesidades primordiales de todos los habitantes de la Ciudad de México, en el caso particular de Tlalpan, en los últimos años, la mayoría de sus habitantes  manifiesta sentirse inseguro en su alcaldía. 5 Respectiva de género en el marco legal capitalino Me comprometo que en caso de ser electa como diputada federal por este distrito, una de mis áreas de atención prioritaria será la de promover una perspectiva transversal en materia de igualdad y equidad de género en los diversos instrumentos que constituyen el marco legal de la Ciudad de México. Desde esta óptica haremos frente a la deuda histórica hacia el movimiento feminista en la Ciudad de México, promoviendo medidas de atención, prevención, ricación de prácticas que impiden el pleno acceso a las mujeres al desarrollo de sus derechos humanos.Promover reformas legislativas para el reconocimiento y desarrollo de todas las comunidades indígenas del país, con perspectiva de género, destacando la exigibilidad de los derechos humanos al Estado Mexicano, promoviendo el respeto a la libre determinación, donde se asegure por los tres Poderes de la Unión, y por los tres órdenes de gobierno, el respeto y uso del Convenio 169 de la OIT, y de los Acuerdos de San Andrés Larrainzar."
97,LIZBETH LICONA DIAZ,REDES SOCIALES PROGRESISTAS,"En materia de salud, propondré que se amplíe el presupuesto para que nadie se quede sin la atención médica necesaria así como medicamentos para todos.En materia de Seguridad Pública, la creación de espacios multidisciplinarios para que los niños y jóvenes tengan acceso a diferentes actividades que les permitan alejarse de la violencia, previniendo los delitos."
